20251208 100100;25773.75;25778.75;25773;25774.75;416
20251208 100200;25775;25775;25770.25;25771.25;217
20251208 100300;25771;25773.5;25769.25;25773.25;306
20251208 100400;25773.5;25774.75;25764;25766.5;719
20251208 100500;25765.75;25771.25;25764.5;25768.5;354
20251208 100600;25768.5;25768.5;25762;25764.75;371
20251208 100700;25765.5;25769.75;25764;25769.25;274
20251208 100800;25769.5;25772.5;25765.75;25766.75;229
20251208 100900;25766.5;25767.75;25763;25766;292
20251208 101000;25765.25;25770;25765.25;25770;210
20251208 101100;25770;25774;25769.25;25773;349
20251208 101200;25772.5;25777.75;25772.5;25777.5;360
20251208 101300;25777.5;25780.75;25776.5;25779;523
20251208 101400;25779.5;25779.75;25771.75;25775.25;329
20251208 101500;25775;25777.25;25774;25776.75;79
20251208 101600;25776.75;25777.5;25773.75;25774;130
20251208 101700;25773.5;25774.75;25770.5;25772.75;188
20251208 101800;25773;25773.75;25768;25770;297
20251208 101900;25770.5;25771;25766.5;25767.5;262
20251208 102000;25767.75;25773.5;25767;25773.5;328
20251208 102100;25771.75;25775;25770;25770;178
20251208 102200;25770;25771.5;25767.25;25770.25;178
20251208 102300;25771;25774.75;25771;25774.5;116
20251208 102400;25774.25;25776.75;25771.5;25773.75;184
20251208 102500;25774.25;25778.5;25773.75;25776.75;221
20251208 102600;25776.25;25778.5;25774.25;25777.25;179
20251208 102700;25777;25779.5;25776.25;25779.5;244
20251208 102800;25779.5;25782.75;25778;25779.75;336
20251208 102900;25780;25781.25;25778.25;25781.25;124
20251208 103000;25781.5;25790.5;25781.5;25789.25;560
20251208 103100;25789;25790.5;25786.25;25787.25;356
20251208 103200;25787;25788.25;25784.5;25788.25;230
20251208 103300;25789;25791.5;25787.25;25790;376
20251208 103400;25790;25794.75;25789.75;25794;444
20251208 103500;25794.25;25797.5;25793.5;25795.75;407
20251208 103600;25796;25798.75;25791;25793.25;435
20251208 103700;25793.5;25794.75;25790;25792.75;231
20251208 103800;25792.5;25793.5;25791.25;25793.5;153
20251208 103900;25793;25795.5;25792.25;25793.25;143
20251208 104000;25793.75;25795;25792.25;25792.25;70
20251208 104100;25792.25;25792.75;25790.5;25791.5;112
20251208 104200;25791.75;25794;25791.25;25793;99
20251208 104300;25792.5;25793.25;25789.5;25790.5;194
20251208 104400;25790.25;25791.75;25787;25790.5;295
20251208 104500;25790.5;25793.25;25790.5;25792.25;179
20251208 104600;25792.25;25793.5;25791.25;25793;137
20251208 104700;25793;25793.75;25787.75;25789.5;298
20251208 104800;25789.25;25795.5;25789.25;25795.25;309
20251208 104900;25795.25;25796;25793;25794.5;160
20251208 105000;25794.25;25795.75;25793;25794;72
20251208 105100;25794.25;25798;25794;25795.5;178
20251208 105200;25795;25795;25790.5;25794.75;206
20251208 105300;25794.75;25796.5;25793.75;25796.5;121
20251208 105400;25796;25800;25794.5;25795.25;468
20251208 105500;25795;25797.25;25794.25;25795.5;164
20251208 105600;25795.5;25797.5;25795;25795.5;209
20251208 105700;25795.75;25796.5;25791.75;25794.5;358
20251208 105800;25794.5;25796;25791.75;25794.25;194
20251208 105900;25794.5;25796.5;25790.75;25792.75;226
20251208 110000;25793;25794.75;25793;25793.5;210
20251208 110100;25793.5;25794;25788;25791;577
20251208 110200;25791;25791.75;25783.25;25785.75;571
20251208 110300;25786;25787.75;25783;25785.75;236
20251208 110400;25785.75;25788.25;25784.75;25787;244
20251208 110500;25787.5;25790;25784.75;25785.75;231
20251208 110600;25786;25786;25779;25780.5;447
20251208 110700;25781;25788.75;25780.25;25787.75;328
20251208 110800;25788;25791;25787.25;25788.75;322
20251208 110900;25789;25791;25787.25;25788;245
20251208 111000;25787.5;25793;25787.5;25791;285
20251208 111100;25791;25791.75;25785;25786.5;341
20251208 111200;25786.25;25788.5;25783.25;25783.75;226
20251208 111300;25784;25788.75;25784;25787.5;212
20251208 111400;25787.75;25789;25784.5;25788.5;365
20251208 111500;25788.75;25797.25;25788;25794;770
20251208 111600;25793.5;25797.5;25789.75;25792.25;444
20251208 111700;25792;25797;25789.25;25794.5;265
20251208 111800;25794;25795;25791;25793.75;131
20251208 111900;25793;25795.25;25792.75;25793.5;112
20251208 112000;25793.75;25795;25786.75;25790.75;311
20251208 112100;25790.5;25791.25;25786.25;25789.25;441
20251208 112200;25789.5;25791.75;25785.5;25787;222
20251208 112300;25786.75;25787.25;25781;25782.5;328
20251208 112400;25782;25783;25778;25781;473
20251208 112500;25781;25782;25776.5;25776.75;252
20251208 112600;25776.5;25782;25773;25780.5;516
20251208 112700;25779.75;25779.75;25774.5;25776.75;223
20251208 112800;25777;25777.75;25774;25776;196
20251208 112900;25775.5;25777.5;25772.75;25774.75;194
